Date : 2021-04-22 17:13:49
Directory : c:\Users\Domantas\Desktop\Bakalauras\calories-tracker
Total : 99 files,  43908 codes, 452 comments, 1395 blanks, all 45755 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     36,985 |          0 |          5 |     36,990 |
| JavaScript |         90 |      6,360 |        412 |      1,266 |      8,038 |
| CSS        |          1 |        504 |         17 |         89 |        610 |
| Markdown   |          2 |         38 |          0 |         34 |         72 |
| HTML       |          1 |         21 |         23 |          1 |         45 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         99 |     43,908 |        452 |      1,395 |     45,755 |
| client                                                                                                            |         71 |     22,422 |        263 |        984 |     23,669 |
| client\public                                                                                                     |          2 |         46 |         23 |          2 |         71 |
| client\src                                                                                                        |         66 |      5,135 |        240 |        947 |      6,322 |
| client\src\actions                                                                                                |         12 |        746 |         54 |        177 |        977 |
| client\src\components                                                                                             |         34 |      3,359 |        153 |        591 |      4,103 |
| client\src\components\auth                                                                                        |          2 |        154 |          0 |         21 |        175 |
| client\src\components\dashboard                                                                                   |          4 |        214 |          0 |         56 |        270 |
| client\src\components\exercises                                                                                   |          3 |        526 |          3 |        118 |        647 |
| client\src\components\food-forms                                                                                  |          6 |      1,165 |          6 |        207 |      1,378 |
| client\src\components\goals                                                                                       |          1 |        205 |          1 |         37 |        243 |
| client\src\components\layout                                                                                      |          6 |        234 |        109 |         45 |        388 |
| client\src\components\profile                                                                                     |          6 |        308 |          5 |         49 |        362 |
| client\src\components\profile-forms                                                                               |          2 |        384 |          1 |         32 |        417 |
| client\src\components\routing                                                                                     |          2 |         77 |          0 |          9 |         86 |
| client\src\components\settings                                                                                    |          2 |         92 |         28 |         17 |        137 |
| client\src\reducers                                                                                               |         13 |        418 |          1 |         63 |        482 |
| client\src\utils                                                                                                  |          3 |         41 |          7 |          6 |         54 |
| config                                                                                                            |          1 |         18 |          1 |          4 |         23 |
| middleware                                                                                                        |          2 |         28 |          4 |          5 |         37 |
| models                                                                                                            |         10 |        340 |          5 |         22 |        367 |
| routes                                                                                                            |         11 |      1,318 |        174 |        363 |      1,855 |
| routes\api                                                                                                        |         11 |      1,318 |        174 |        363 |      1,855 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\README.md                                                   | Markdown   |          0 |          0 |          1 |          1 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\README.md                                            | Markdown   |         38 |          0 |         33 |         71 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\package-lock.json                                    | JSON       |     17,141 |          0 |          1 |     17,142 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\package.json                                         | JSON       |         62 |          0 |          1 |         63 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\public\index.html                                    | HTML       |         21 |         23 |          1 |         45 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\public\manifest.json                                 | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\App.css                                          | CSS        |        504 |         17 |         89 |        610 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\App.js                                           | JavaScript |         36 |          2 |         11 |         49 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\alert.js                                 | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\auth.js                                  | JavaScript |         62 |          4 |         15 |         81 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\dietprofile.js                           | JavaScript |         60 |          3 |         12 |         75 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\exercise.js                              | JavaScript |         60 |          3 |         16 |         79 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\fDiary.js                                | JavaScript |         43 |          2 |         12 |         57 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\food.js                                  | JavaScript |        113 |         24 |         34 |        171 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\goal.js                                  | JavaScript |         60 |          3 |         10 |         73 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\meal.js                                  | JavaScript |         60 |          3 |         15 |         78 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\profile.js                               | JavaScript |        105 |          6 |         20 |        131 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\sDiary.js                                | JavaScript |         43 |          2 |         11 |         56 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\sport.js                                 | JavaScript |         78 |          4 |         20 |        102 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\types.js                                 | JavaScript |         52 |          0 |         10 |         62 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\auth\Login.js                         | JavaScript |         63 |          0 |         12 |         75 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\auth\Register.js                      | JavaScript |         91 |          0 |          9 |        100 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\Dashboard.js                | JavaScript |         79 |          0 |         22 |        101 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\DashboardActions.js         | JavaScript |         15 |          0 |          2 |         17 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\DashboardExistingProfile.js | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\ProgressTable.js            | JavaScript |        111 |          0 |         30 |        141 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\exercises\AddExercise.js              | JavaScript |        199 |          1 |         37 |        237 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\exercises\ExerciseMain.js             | JavaScript |        205 |          1 |         48 |        254 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\exercises\SportForm.js                | JavaScript |        122 |          1 |         33 |        156 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodForm.js                | JavaScript |        135 |          1 |         23 |        159 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodInfo.js                | JavaScript |         91 |          4 |         17 |        112 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodItem.js                | JavaScript |         96 |          0 |         18 |        114 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodMain.js                | JavaScript |        428 |          0 |         85 |        513 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodSuggestionTable.js     | JavaScript |        209 |          0 |         33 |        242 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\Serving.js                 | JavaScript |        206 |          1 |         31 |        238 |
| c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\goals\GoalForm.js                     | JavaScript |        205 |          1 |         37 |        243 |
